"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND 2.1","TechCost-SSP2-B1100-coalH","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4722,72.448,84.3851,96.8295,115.2032,135.0464,160.7682,193.2116,228.7317,260.4172,291.6699,"",347.3229,"",391.1652,"",423.2486,"",459.3473
"GCAM 5.3","R_MAC_99_n0","World","Final Energy|Electricity","EJ/yr","",55.725024063347,66.072530869092,74.76684753505,85.5382174975356,92.9264733762172,109.914086958711,128.161734879203,146.866697004653,166.432057965407,185.984518746876,207.783951557478,231.553581824866,256.366321878705,283.021547637682,308.489438578501,331.428548101865,352.427073144558,369.5000357104,382.355190458207,393.559535415904
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000_NDCp","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,93.01636971872291,102.9346720719538,111.3909017432031,119.8410349159064,130.8814019350401,146.4820792678258,168.1146877993563,190.8201679018224,"",235.5740303571843,"",275.7016236811328,"",320.7980602880044,"",368.4130235539996
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_2500f","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,91.4914490402494,99.12934638173328,107.803553945299,118.8786872938743,132.9594024806963,151.6992624794174,176.3015239588853,198.5479270974667,"",239.4449434096454,"",283.0955588307042,"",331.8488222303785,"",382.0442189394768
"GCAM 5.3","R_MAC_35_n0","World","Final Energy|Electricity","EJ/yr","",55.725024063347,66.072530869092,74.76684753505,85.5382174975356,108.095174080919,144.318589062101,197.57984214618,211.051134601385,234.116389521366,255.862635082002,278.622729714509,300.525457566446,320.015051305935,335.63430025005,350.14839186931,362.275285918328,373.205818573698,381.969854563304,388.47276676415,394.573973723684
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_800","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,95.4625,115.3304,138.916,168.7373,204.5222,238.409,268.3478,297.9567,"",358.5078,"",403.4938,"",428.1839,"",462.1302
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1400f_COV","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,79.87818765648237,79.23874038162512,87.80124679949472,99.25375189850784,114.4006066550657,135.5022928351362,156.55578208707,175.3155528552138,190.3542849453934,"",249.5082698933049,"",301.6234739813382,"",350.3359416577138,"",391.0244099325894
"WITCH 5.0","EN_NPi2020_3000","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,91.5870099254864,105.9835302967297,117.0633087245605,130.2495119000741,145.6343241042262,166.0955256290659,185.4425457769261,203.5467572307474,219.4012233516623,233.9852478773771,248.1005112325446,261.3535455325838,273.5138942397141,283.9330342091444,293.0375490691254,302.1915367883475,312.1655995726226
"MESSAGE-GLOBIOM 1.0","EMF30_Slower-to-faster","World","Final Energy|Electricity","EJ/yr","",54.195,63.736,"",88.93700000000004,"",115.345,"",127.309,"",173.674,"",222.974,"",260.864,"",296.546,"",330.111,"",368.665
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB450","World","Final Energy|Electricity","EJ/yr",45.3973961554851,54.2037641678815,63.7216612221964,"",82.7108166484285,"",122.455651335737,"",186.630957743359,"",246.600693936373,"",297.088224295135,"",346.149275794034,"",391.010988075257,"",436.538496036302,"",485.516571377857
"POLES ENGAGE","EN_NPi2020_500","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,83.22787475585938,72.76646423339844,79.4479751586914,92.19718933105467,111.4603500366211,133.3562927246094,154.0823211669922,"",195.784683227539,"",240.4530487060547,"",269.6033630371094,"",287.345703125,"",286.9500122070312
"GEM-E3_V2021","EN_INDCi2030_1000_COV_NDCp","World","Final Energy|Electricity","EJ/yr","","","",83.21729139977066,86.2921629687816,97.2841465705003,110.0698309551026,125.0303797754876,141.6370627667045,161.189967445109,176.77421112175,188.4643235536677,201.162917078592,215.5442353208749,232.0129330835484,247.5471822229807,265.086320355313,281.9290620063898,298.3859334475804,315.7160401677671,335.4884823910597
"TIAM-ECN 1.1","EN_NPi2020_1000","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",82.2660278586406,"",101.4985837976687,"",120.6997189548522,"",154.9197272335982,"",196.7536979867741,"",238.8431823900384,"",262.0887563641517,"",286.1079062749974,"",288.1632525217702
"POLES ENGAGE","EN_NPi2020_1200f","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,83.22787475585938,93.35760498046876,104.7007217407227,117.4071273803711,129.9737091064453,143.0944976806641,157.9304046630859,"",191.738510131836,"",221.8149108886719,"",248.5387115478516,"",270.5982666015625,"",281.4950866699219
