"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"POLES ENGAGE","EN_NPi2020_3000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12940.880859375,12624.447265625,12164.0654296875,11932.509765625,12057.8359375,12537.1259765625,"",13220.646484375,"",13079.4267578125,"",13991.9267578125,"",15161.208984375,"",16018.8271484375
"GEM-E3_V2021","EN_INDCi2030_1000_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","","",12395.23196576639,11695.55563411366,12357.18801127574,11564.02098172038,4830.833847377085,1924.236164593582,408.9227494928057,-778.4393078141993,-1738.340797669817,-2493.058744683924,-2831.823835561672,-3134.209786912862,-3972.926801215515,-3902.635859514568,-4520.122197675959,-4443.817451002279,-4647.919170074852,-4555.736011314115
"WITCH 5.0","CO_Bridge","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10766.0646186086,12365.8212175469,13396.9099737777,14935.8374799586,12815.5867356232,10574.1921582773,4918.06843669611,2241.84002854361,784.06291883816,117.46736157119,-247.73998802485,-383.962692640755,-523.669698169503,-723.838772165629,-946.506347960266,-1242.94053381516,-1612.48786361471,-1965.98582091941,-2277.12392811292,-2526.24703221546
"AIM/CGE 2.2","EN_NPi2020_1600f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,14495.5951,12776.8357,12143.1082,10955.9248,9217.2259,7086.597,4746.3679,3210.7854,1773.7525,-62.9566,-2328.8847,-4696.6841,-6284.1272,-7065.3506,-7291.8103,-7539.9511
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10752.9857,11483.3369,11488.5097,7319.1333,3444.8522,1090.0447,-167.8998,-648.0048,-1148.0216,-1532.3644,-1777.0116,"",-1939.18,"",-1716.2766,"",-1343.8299,"",-1097.9417
"IMAGE 3.0","EN_NPi2020_1400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.664941151936,11212.23775545756,13014.38220342,13639.77630933126,12888.0767027537,11203.37160428365,9320.387999216717,6700.844208399454,2566.479762395223,-888.9778107404709,"",-1723.384251197179,"",-5906.673709551493,"",-8473.721265792847,"",-10252.44760513305,"",-10756.77879651387
"IMAGE 3.0.1","CD-LINKS_NPi2020_1600","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.7121480306,11212.3444080353,12854.0868759155,13863.3515834808,12914.300998052,10202.1224498749,7781.04774157206,6003.79268328349,1573.88695081075,-661.0736002524691,"",-3160.98745663961,"",-4649.08421039581,"",-5496.542533238729,"",-6206.482410430911,"",-6429.87410227458
"REMIND 2.1","TechCost-SSP2-B1100-oilH","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10745.8533,11477.5692,11511.0288,9069.0928,6140.0075,3111.3781,1460.1183,629.6667,226.0273,10.8463,13.2986,"",45.9861,"",158.73,"",258.5044,"",191.7757
"WITCH 5.0","EN_INDCi2030_1000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14340.31998976194,14781.44929134829,12612.65140797849,4148.131540695744,1415.139071578022,-177.6600421156714,-1449.899111349629,-2166.594856059075,-2787.726161366791,-3191.384898054506,-3753.062366228214,-4555.728250242028,-5148.225145332648,-5933.168879974019,-6692.251297653401,-7432.219053650784,-8292.47516611358
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,12244.88972480005,10277.6887419381,9686.371947500676,6385.010826999269,5339.814910112776,5308.153949975895,4547.9069036784,3557.09950397061,2327.516312396765,"",248.2751042124742,"",-120.471225461501,"",-99.1155228623725,"",-149.3293471714267
