"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP2_SPA2_19I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1168.511239297125,1339.007104558284,1251.874448224467,1137.736657116926,992.1895725933684,874.2419227510727,825.0759313012206,853.8376168192789,815.8143542206852,717.0701375262147,531.7923281204357,298.277402168558,108.8734843944766,23.75584248259397,2.403054025688416,0.0002183903818726
"IMAGE 3.2","SSP2_SPA2_45I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9129605120785,1173.914507759042,1339.92366380753,1511.360839146681,1712.413706041084,1943.6721592425,2268.014832295528,2461.658937459461,2684.181208655869,2894.76104106993,3096.955560429304,3244.89351764018,3309.938791198432,3291.088412504568,3226.158601835601,3137.755416618926,3060.094268649852
"MESSAGEix-GLOBIOM_1.1","NGFS2_Nationally Determined Contributions (NDCs)","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP1-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9537604882455,808.4665407230302,464.8239103878905,1150.04402036989,1293.119805672105,1432.311937343154,1570.798574779179,1718.191918141877,1901.93494054084,1921.944100584468,1932.640324211975,1931.191499210126,1925.523641383855,1911.784773245406,1876.31646684975,1818.989449656466,1744.825626571648,1653.966187960265,1545.948968099031
"IMAGE 3.2","SSP2_SPA2_34I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9129605120785,1173.914480440247,1339.923554532348,1464.024455730096,1604.315704501484,1785.006998889992,1999.391315065789,2075.475704113574,2163.843511490045,2251.82642435637,2355.121003057085,2442.528144988935,2491.37841311891,2493.7615272683,2470.914258535821,2422.276708207198,2349.036274070506
"AIM/Hub-Global 2.0","WB2C","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",855.2693999999999,988.5495,1157.0037,1213.4065,1190.6342,1141.8374,1284.0009,1422.9475,1512.8659,1548.1642,1533.0624,1501.4514,1396.69,1239.3104,1055.0872,818.465,649.2810999999999,652.3799,655.1885
"IMAGE 3.2","SSP5-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,467.0062177307772,1388.643238819716,1848.434344102098,2429.856499257049,3333.760152563531,4541.605266844841,6165.327902202012,7468.424067580155,8659.778655362601,9602.647270638505,10318.69601303765,10809.70235267204,10991.94674790491,10840.51921068831,10312.44522675247,9400.13197398208,8216.551359248075
"IMAGE 3.2","SSP2_SPA1_19I_LIRE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1095.83875608969,970.8633460987068,914.4980666127678,793.2291068857809,616.8878116274403,508.0125220581783,443.1728292659478,399.2329746226814,305.5434044107407,221.7128630929087,144.0568049569258,66.65535159238901,15.77228825915566,0.00008348861143925636,0.00007972478544729727,0.0000753016396343168
"IMAGE 3.2","SSP1_SPA1_26I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1121.014146236168,1211.246686787251,1225.463551890994,1227.848482740286,1181.744532146199,1158.677142218782,1147.613508110266,1114.049547142733,907.766756373715,675.2988147231916,420.0934122388002,182.848702356699,38.3730866049842,0.0001778825642501,0.0001666850350489,0.0001563658588678
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_80","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP3-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9580044373859,692.9538834228254,808.4666773170078,465.8526269521626,1265.972189720324,1507.376420138223,1771.077841681317,2051.502026804027,2398.434994339432,2806.588918225802,2934.667845833856,3008.948470428939,3033.571856993048,3022.716788228964,2980.265606465668,2887.50500506584,2752.9592814564,2581.971718853992,2377.389809953729,2143.495284215764
